,id,created_at,full_text,cleaned_text
374,1253679654734573570,2020-04-24 13:38:16,"b'Getting VERY good reviews of the job the Federal Government is doing on CoronaVirus. Ventilators, building hospitals, beds and yes, Testing, have been handled incredibly well. Testing is getting exponentially better every day. Love seeing our Country safely opening up!'",getting very good reviews of the job the federal government is doing on thingthing ventilators building hospitals beds and yes testing have been handled incredibly well testing is getting exponentially better every day love seeing our country safely opening up
394,1253296736589807619,2020-04-23 12:16:41,b'Please study this closely. We saved many lives with our fast action on CoronaVirus! https://t.co/IKtkciXEEO',please study this closely we saved many lives with our fast action on thingthing 
399,1252964659960971265,2020-04-22 14:17:08,b'CDC Director was totally misquoted by Fake News @CNN on Covid 19. He will be putting out a statement.',cdc director was totally misquoted by fake news on thing 0 he will be putting out a statement
406,1252912612821667840,2020-04-22 10:50:19,b'\xe2\x80\x9cEconomic impact of Covid-19.\xe2\x80\x9d @foxandfriends Very interesting analysis. Light at the end of the tunnel. Thank you!',ceconomic impact of thing0d very interesting analysis light at the end of the tunnel thank you
412,1252556676818968576,2020-04-21 11:15:57,"b'96% Approval Rating in the Republican Party. Thank you! This must also mean that, most importantly, we are doing a good (great) job in the handling of the Pandemic.'",0 approval rating in the republican party thank you this must also mean that most importantly we are doing a good great job in the handling of the thing
429,1251953233184149504,2020-04-19 19:18:05,"b'\xe2\x80\x9cOn February 19th there was a Democratic Debate, in Las Vegas. Three words weren\xe2\x80\x99t said: Virus, CoronaVirus, or COVID19. NEVER came up!\xe2\x80\x9d @BretBaier'",con february 0th there was a democratic debate in las vegas three words werent said thing thingthing or thing0 never came upd 
448,1251538837328797699,2020-04-18 15:51:25,"b'Spending the morning speaking to @fema and Military relative to CoronaVirus. Also, spoke to leaders of various countries including Poland, South Korea and Bahrain. Last night had a very gold conversation with the President of Mexico on numerous topics. Border is very strong!'",spending the morning speaking to and military relative to thingthing also spoke to leaders of various countries including poland south korea and bahrain last night had a very gold conversation with the president of mexico on numerous topics border is very strong
465,1251138462968922119,2020-04-17 13:20:29,b'Why did the W.H.O. Ignore an email from Taiwanese health officials in late December alerting them to the possibility that CoronaVirus could be transmitted between humans? Why did the W.H.O. make several claims about the CoronaVirus that ere either inaccurate or misleading....',why did the who ignore an email from taiwanese health officials in late december alerting them to the possibility that thingthing could be transmitted between humans why did the who make several claims about the thingthing that ere either inaccurate or misleading
494,1249691637040795654,2020-04-13 13:31:19,"b'Having been involved in the negotiations, to put it mildly, the number that OPEC+ is looking to cut is 20 Million Barrels a day, not the 10 Million that is generally being reported. If anything near this happens, and the World gets back to business from the Covid 19.....'",having been involved in the negotiations to put it mildly the number that opec is looking to cut is 0 million barrels a day not the 0 million that is generally being reported if anything near this happens and the world gets back to business from the thing 0
511,1249370410422095872,2020-04-12 16:14:52,"b'Great businessman &amp; philanthropist Bernie Marcus, Co-Founder of Home Depot, said that Congress was too distracted by the (phony) Impeachment Witch Hunt when they should have been investigating  CoronaVirus when it first appeared in China. Media played a big roll also!@dcexaminer'",great businessman amp philanthropist bernie marcus cofounder of home depot said that congress was too distracted by the phony impeachment witch hunt when they should have been investigating thingthing when it first appeared in china media played a big roll also
519,1249118778404765696,2020-04-11 23:34:58,"b'So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe, NOT China. This is a first! I wonder what the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs, and obviously want back in. Sad!'",so now the fake news is tracing the thingthing origins back to europe not china this is a first i wonder what the failing new york times got for this one are there any named sources they were recently thrown out of china like dogs and obviously want back in sad
530,1249042796151017472,2020-04-11 18:33:03,"b'\xe2\x80\x9cI think the situation is unprecedented, and there is no question about that. It\xe2\x80\x99s whiplash! The economy was moving forward at a rapid pace in terms of growth, jobs and even wage increases, and all of a sudden the pandemic hit and the....'",ci think the situation is unprecedented and there is no question about that its whiplash the economy was moving forward at a rapid pace in terms of growth jobs and even wage increases and all of a sudden the thing hit and the
550,1248266439582244866,2020-04-09 15:08:05,b'.@OANN  A key CoronaVirus Model is now predicting far fewer deaths than the number shown in earlier models. That\xe2\x80\x99s because the American people are doing a great job. Social Distancing etc. Keep going!', a key thingthing model is now predicting far fewer deaths than the number shown in earlier models thats because the american people are doing a great job social distancing etc keep going
585,1247149300175589377,2020-04-06 13:08:58,"b'Advertising in the Failing New York Times is WAY down. Washington Post is not much better. I can\xe2\x80\x99t say whether this is because they are Fake News sources of information, to a level that few can understand, or the Virus is just plain beating them up. Fake News is bad for America!'",advertising in the failing new york times is way down washington post is not much better i cant say whether this is because they are fake news sources of information to a level that few can understand or the thing is just plain beating them up fake news is bad for america
589,1247129414485397504,2020-04-06 11:49:57,"b'For humanitarian reasons, the passengers from the two CoronaVirus stricken cruise ships have been given medical treatment and, when appropriate, allowed to disembark, under strict supervision. Very carefully done. People we\xe2\x80\x99re dying &amp; no other countries would allow them to dock!'",for humanitarian reasons the passengers from the two thingthing stricken cruise ships have been given medical treatment and when appropriate allowed to disembark under strict supervision very carefully done people were dying amp no other countries would allow them to dock
605,1246515478908076034,2020-04-04 19:10:23,"b'America owes our very hard working food supply workers so much as they produce and deliver high quality food for us during this horrible COVID-19. Join me in thanking our Farmers, Ranchers, Processors, Distributors and Stores! @JohnBoozman'",america owes our very hard working food supply workers so much as they produce and deliver high quality food for us during this horrible thing0 join me in thanking our farmers ranchers processors distributors and stores 
634,1245136063187869698,2020-03-31 23:49:05,b'30 DAYS TO SLOW THE SPREAD\n#COVID\xe3\x83\xbc19 https://t.co/p9j7kZsD7b https://t.co/RSUHRfT8If',0 days to slow the spread\nthing\xe0\x0\xbc0 
649,1244584449309892609,2020-03-30 11:17:10,"b'Nancy Pelosi and the Democrats delayed the Workers Help/Stimulus Bill by over a week, trying to add real \xe2\x80\x9cjunk\xe2\x80\x9d into the Bill. Got some bad things, having nothing to do with those affected by the Virus, included. Republicans need their votes until we WIN BACK THE HOUSE IN 2020!'",nancy pelosi and the democrats delayed the workers helpstimulus bill by over a week trying to add real cjunkd into the bill got some bad things having nothing to do with those affected by the thing included republicans need their votes until we win back the house in 0
659,1244320570315018240,2020-03-29 17:48:36,"b'\xe2\x80\x9cPresident Trump is a ratings hit. Since reviving the daily White House briefing Mr. Trump and his coronavirus updates have attracted an average audience of 8.5 million on cable news, roughly the viewership of the season finale of \xe2\x80\x98The Bachelor.\xe2\x80\x99 Numbers are continuing to rise...'",cpresident trump is a ratings hit since reviving the daily white house briefing mr trump and his thingthing updates have attracted an average audience of 00 million on cable news roughly the viewership of the season finale of the bachelor numbers are continuing to rise
661,1244306707536326657,2020-03-29 16:53:31,b'Polls are showing tremendous disapproval of Lamestream Media coverage of the Virus crisis. The Fake News just hasn\xe2\x80\x99t figured that out yet!',polls are showing tremendous disapproval of lamestream media coverage of the thing crisis the fake news just hasnt figured that out yet
664,1244295140837122048,2020-03-29 16:07:34,"b'\xe2\x80\x9cWith the Tax Cuts and new Trade Deals, we were set for a tremendous growth rate this year.... and then the Virus came along.\xe2\x80\x9d @larry_kudlow  @MariaBartiromo We were breaking all records, especially on employment. It will all come roaring back again, and fast!'",cwith the tax cuts and new trade deals we were set for a tremendous growth rate this year and then the thing came alongd _kudlow we were breaking all records especially on employment it will all come roaring back again and fast
667,1244056534583312384,2020-03-29 00:19:25,"b'On the recommendation of the White House CoronaVirus Task Force, and upon consultation with the Governor\xe2\x80\x99s of New York, New Jersey and Connecticut, I have asked the @CDCgov to issue a strong Travel Advisory, to be administered by the Governors, in consultation with the....'",on the recommendation of the white house thingthing task force and upon consultation with the governors of new york new jersey and connecticut i have asked the to issue a strong travel advisory to be administered by the governors in consultation with the
